Yes,Oui
"Apple Pay","Apple Pay"
"Google Pay","Google Pay"
Link,Link
"Payment intent %1 cancelled successfully.","L'intention de paiement %1 a été annulée avec succès."
"Capture failed. Invalid Payment Intent Id.","Échec de la capture. Identifiant d'intention de paiement invalide."
"Can not get Order ID nor Quote ID from event.","Impossible d'obtenir l'identifiant de commande ou l'identifiant de devis à partir de l'événement."
"Please complete account setup.","Veuillez compléter la configuration du compte."
"Setup complete","Configuration terminée"
"Apple association file correctly placed","Fichier d'association Apple correctement placé"
"Apple association file error: ","Erreur de fichier d'association Apple : "
"Store domain successfully registered","Domaine du magasin enregistré avec succès"
"Order #%order_id is Awaiting Payment","La commande #%order_id est en attente de paiement"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Merci pour votre commande de %store_name."
"Please click on to following link to finalize payment:","Veuillez cliquer sur le lien suivant pour finaliser le paiement :"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Si vous avez des questions sur votre commande, vous pouvez nous envoyer un e-mail à <a href=""mailto:%store_email"">%store_email</a>"
"Your Order <span class=""no-link"">#%increment_id</span>","Votre commande <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Passée le <span class=""no-link"">%created_at</span>"
Billing Info,Informations de facturation
"Payment Method","Méthode de paiement"
"Place Order","Passer la commande"
"Another step will appear to securely submit your payment information.","Une autre étape apparaîtra pour soumettre en toute sécurité vos informations de paiement."
"Checkout with","Valider avec"
"Please agree to the terms and conditions before placing the order.","Veuillez accepter les termes et conditions avant de passer la commande."
"Please complete all required fields before placing the order.","Veuillez remplir tous les champs obligatoires avant de passer la commande."
"Payment Methods Status","État des méthodes de paiement"
"UI component embedded into your self-hosted checkout.","Composant UI intégré à votre caisse en libre-service."
Enabled,Activé
Title,Titre
"Capture Method","Méthode de capture"
"When a payment is authorised, the bank guarantees the amount and holds it on the customer's card for up to 7 days.","Lorsqu'un paiement est autorisé, la banque garantit le montant et le retient sur la carte du client pendant jusqu'à 7 jours."
"Status Triggering Capture","État déclenchant la capture"
"3D Secure","3D Secure"
"3D Secure Threshold","Seuil 3D Secure"
"Order minimum amount to trigger 3D Secure.","Montant minimum de commande pour déclencher 3D Secure."
Theme,Thème
"Sort Order","Ordre de tri"
"Alternative Payment Types","Types de paiement alternatifs"
"Allow customers to checkout via Apple Pay, Google Pay, or similar from any page of your website.","Autoriser les clients à payer via Apple Pay, Google Pay ou similaire depuis n'importe quelle page de votre site web."
"Business Name","Nom de l'entreprise"
"This is the text that appears as PAY [BUSINESS NAME] in the payment modal. If left empty will show as 'GRAND TOTAL'.","Il s'agit du texte qui apparaît comme PAY [NOM DE L'ENTREPRISE] dans le modal de paiement. S'il est laissé vide, il s'affichera comme 'TOTAL GÉNÉRAL'."
Location,Emplacement
"Request Agreements","Demander des accords"
"Request the customer to accept agreements in express locations (Cart, Minicart & Product Page).","Demander au client d'accepter des accords dans des emplacements express (Panier, Mini-panier et Page du produit)."
"Checkout Location","Emplacement de la validation de la commande"
"Place Order Button","Bouton de passation de commande"
"Product Page Behavior","Comportement de la page produit"
"Discount Code Input","Entrée du code de réduction"
"Display coupon code input for Minicart and Product Page locations.","Afficher l'entrée du code de coupon pour les emplacements Mini-panier et Page du produit."
Wallets,Portefeuilles
"Block Delivery Methods","Bloquer les méthodes de livraison"
"Block specific delivery methods even if quote and shipping address rules allow them.","Bloquer des méthodes de livraison spécifiques même si les règles de devis et d'adresse de livraison les autorisent."
"Button Type","Type de bouton"
"Button Theme","Thème du bouton"
"Button Height","Hauteur du bouton"
"Pay by Link","Payer par lien"
"Customer receives an email afterwards to finalize payment from Stripe-hosted checkout.","Le client reçoit un e-mail ensuite pour finaliser le paiement depuis le paiement hébergé par Stripe."
"Note for Customer in Checkout","Note pour le client lors de la validation de la commande"
"Note for Customer in Success","Note pour le client lors du succès"
"Note for Customer after Payment Confirmation","Note pour le client après la confirmation du paiement"
"Email Sender","Expéditeur de l'e-mail"
"Email Template","Modèle d'e-mail"
"Display Payment Method Logos","Afficher les logos des méthodes de paiement"
"The selected options will display the corresponding payment logos on the checkout page.","Les options sélectionnées afficheront les logos de paiement correspondants sur la page de paiement."
